Body ID,Surface Type,Total Gross Area'm2',Total Net Area'm2',Total Window Area'm2',Total Door Area'm2',Surface Area'm2',Surface Thickness'mm',Orientation,Tilt
01000000,Ground Floor,53.19903799999999,53.19903799999999,0.0,0.0,53.19903799999999,0.0,0.0,180.0
01000000,Roof,53.199037999999994,53.199037999999994,0.0,0.0,53.199037999999994,0.31099992990493774,0.0,0.0
01000000,Wall,3.8700000000000014,1.1178002580000013,0.23219974200000015,2.52,3.8700000000000014,0.2429000288248062,270.0,90.0
01000000,Wall,21.204010398978774,16.963208319183018,4.240802079795755,0.0,21.204010398978774,0.2429000288248062,0.05674452822037047,90.0
01000000,Wall,14.940000000000001,11.952000000000002,2.9879999999999995,0.0,14.940000000000001,0.2429000288248062,90.0,90.0
01000000,Partition,10.193999999999999,10.193999999999999,0.0,0.0,10.193999999999999,0.03950000554323189,180.0,90.0
01000000,Partition,14.693999999999999,14.693999999999999,0.0,0.0,14.693999999999999,0.03950000554323194,90.0,90.0
01000000,Wall,11.010000000000002,8.808000000000002,2.2019999999999995,0.0,11.010000000000002,0.2429000288248062,180.0,90.0
01000000,Wall,25.785000000000004,20.628000000000004,5.157,0.0,25.785000000000004,0.2429000288248062,270.0,90.0
01000001,Ground Floor,9.174599999999998,9.174599999999998,0.0,0.0,9.174599999999998,0.0,0.0,180.0
01000001,Roof,9.174599999999998,9.174599999999998,0.0,0.0,9.174599999999998,0.31099992990493774,0.0,0.0
01000001,Partition,8.1,8.1,0.0,0.0,8.1,0.039500005543232006,270.0,90.0
01000001,Partition,10.193999999999999,10.193999999999999,0.0,0.0,10.193999999999999,0.03950000554323193,0.0,90.0
01000001,Wall,8.1,6.480000000000002,1.6199999999999974,0.0,8.1,0.2429000288248062,90.0,90.0
01000001,Partition,10.193999999999999,10.193999999999999,0.0,0.0,10.193999999999999,0.03950000554323189,180.0,90.0
01000002,Ground Floor,7.468804,7.468804,0.0,0.0,7.468804,0.0,0.0,180.0
01000002,Roof,7.468804,7.468804,0.0,0.0,7.468804,0.31099992990493774,0.0,0.0
01000002,Partition,6.594000000000001,6.594000000000001,0.0,0.0,6.594000000000001,0.03950000554323191,270.0,90.0
01000002,Partition,10.193999999999999,10.193999999999999,0.0,0.0,10.193999999999999,0.03950000554323193,0.0,90.0
01000002,Wall,6.594000000000001,5.275200000000002,1.3187999999999995,0.0,6.594000000000001,0.2429000288248062,90.0,90.0
01000002,Wall,10.193999999999999,8.155199999999999,2.0387999999999997,0.0,10.193999999999999,0.24290002882480619,180.0,90.0
